S.No,CLIENT,START_DATE,END_DATE,ROLE,TYPE,LOCATION
52,"LeCroy, Inc.",1/1982,3/1982,Consultant,Contract,"Palo Alto, CA"
53,"Strobe, Inc.",11/1981,1/1982,Consultant,Contract,"Mtn View, CA"
54,ADC Associates,10/1981,9/1982,Author,Contract,"Palo Alto, CA"
55,OMEX,6/1981,5/1982,Consultant,Contract,"Santa Clara, CA"
56,"DCM, Inc.",4/1981,6/1981,Consultant,Contract,"San Leandro, CA"
57,Quality Software,4/1981,9/1981,Author,Contract,"Reseda, CA"
58,GenRad S.T.I.,2/1981,4/1981,Consultant,Contract,"Milpitas, CA"
59,Byte Magazine,5/1980,5/1981,Author,Contract,"SF, CA"
60,Aydin Energy Division,4/1980,2/1981,Consultant,Contract,"Palo Alto, CA"
61,Quality Software,1/1980,4/1980,Author,Contract,"Reseda, CA"
62,Personal Software (Visicorp),10/1979,3/1980,Software Development Manager,Employee,"Sunnyvale, CA"
63,National Info Systems,9/1978,9/1979,MAXBASIC Project Manager,Employee,"Cupertino, CA"
64,Apple P.I.E.,9/1978,5/1984,President,Volunteer,"Sunnyvale, CA"
65,Control Data Corp,3/1978,9/1978,Programmer/Analyst,Employee,"Sunnyvale, CA"
66,"Applications Group, FSU",9/1974,1/1977,Programmer/Analyst,Contract-W2,"Tallahassee, FL"
67,Florida State University,1/1974,12/1977,Student,Student,"Tallahassee, FL"
